Date,Value,Classification
2023-01-01,59.9,Greed
2023-01-02,47.2,Neutral
2023-01-03,63.0,Greed
2023-01-04,80.5,Extreme Greed
2023-01-05,45.3,Neutral
2023-01-06,45.3,Neutral
2023-01-07,81.6,Extreme Greed
2023-01-08,65.3,Greed
2023-01-09,40.6,Fear
2023-01-10,60.9,Greed
2023-01-11,40.7,Fear
2023-01-12,40.7,Fear
2023-01-13,54.8,Neutral
2023-01-14,11.7,Extreme Fear
2023-01-15,15.5,Extreme Fear
2023-01-16,38.8,Fear
2023-01-17,29.7,Fear
2023-01-18,56.3,Greed
2023-01-19,31.8,Fear
2023-01-20,21.8,Extreme Fear
2023-01-21,79.3,Extreme Greed
2023-01-22,45.5,Neutral
2023-01-23,51.4,Neutral
2023-01-24,21.5,Extreme Fear
2023-01-25,39.1,Fear
2023-01-26,52.2,Neutral
2023-01-27,27.0,Fear
2023-01-28,57.5,Greed
2023-01-29,38.0,Fear
2023-01-30,44.2,Fear
2023-01-31,38.0,Fear
2023-02-01,87.0,Extreme Greed
2023-02-02,49.7,Neutral
2023-02-03,28.8,Fear
2023-02-04,66.5,Greed
2023-02-05,25.6,Fear
2023-02-06,54.2,Neutral
2023-02-07,10.8,Extreme Fear
2023-02-08,23.4,Extreme Fear
2023-02-09,53.9,Neutral
2023-02-10,64.8,Greed
2023-02-11,53.4,Neutral
2023-02-12,47.7,Neutral
2023-02-13,44.0,Fear
2023-02-14,20.4,Extreme Fear
2023-02-15,35.6,Fear
2023-02-16,40.8,Fear
2023-02-17,71.1,Greed
2023-02-18,56.9,Greed
2023-02-19,14.7,Extreme Fear
2023-02-20,56.5,Greed
2023-02-21,42.3,Fear
2023-02-22,36.5,Fear
2023-02-23,62.2,Greed
2023-02-24,70.6,Greed
2023-02-25,68.6,Greed
2023-02-26,33.2,Fear
2023-02-27,43.8,Fear
2023-02-28,56.6,Greed
2023-03-01,69.5,Greed
2023-03-02,40.4,Fear
2023-03-03,46.3,Neutral
2023-03-04,27.9,Fear
2023-03-05,26.1,Fear
2023-03-06,66.3,Greed
2023-03-07,77.1,Extreme Greed
2023-03-08,48.6,Neutral
2023-03-09,70.1,Greed
2023-03-10,57.2,Greed
2023-03-11,37.1,Fear
2023-03-12,57.2,Greed
2023-03-13,80.8,Extreme Greed
2023-03-14,49.3,Neutral
2023-03-15,81.3,Extreme Greed
2023-03-16,0.0,Extreme Fear
2023-03-17,66.4,Greed
2023-03-18,51.7,Neutral
2023-03-19,44.0,Fear
2023-03-20,51.8,Neutral
2023-03-21,10.2,Extreme Fear
2023-03-22,45.6,Neutral
2023-03-23,57.1,Greed
2023-03-24,79.6,Extreme Greed
2023-03-25,39.6,Fear
2023-03-26,33.8,Fear
2023-03-27,40.0,Fear
2023-03-28,68.3,Greed
2023-03-29,56.6,Greed
2023-03-30,39.4,Fear
2023-03-31,60.3,Greed
2023-04-01,51.9,Neutral
2023-04-02,69.4,Greed
2023-04-03,36.0,Fear
2023-04-04,43.4,Fear
2023-04-05,42.2,Fear
2023-04-06,20.7,Extreme Fear
2023-04-07,55.9,Greed
2023-04-08,55.2,Greed
2023-04-09,50.1,Neutral
2023-04-10,45.3,Neutral
2023-04-11,21.7,Extreme Fear
2023-04-12,41.6,Fear
2023-04-13,43.1,Fear
2023-04-14,34.0,Fear
2023-04-15,46.8,Neutral
2023-04-16,58.1,Greed
2023-04-17,87.7,Extreme Greed
2023-04-18,53.5,Neutral
2023-04-19,55.2,Greed
2023-04-20,48.5,Neutral
2023-04-21,11.6,Extreme Fear
2023-04-22,49.5,Neutral
2023-04-23,51.2,Neutral
2023-04-24,99.3,Extreme Greed
2023-04-25,46.2,Neutral
2023-04-26,56.0,Greed
2023-04-27,49.3,Neutral
2023-04-28,26.6,Fear
2023-04-29,72.9,Greed
2023-04-30,65.0,Greed
2023-05-01,65.8,Greed
2023-05-02,31.8,Fear
2023-05-03,78.1,Extreme Greed
