account,symbol,execution_price,size,side,time,start_position,event,closedPnL,leverage
0x0000001368231c9688457c5df7f17b4961b1cd22,ETH-USD,31707.66,3.0369,SELL,2024-05-01 12:42:00,8.5783,PARTIAL_FILL,567.36,2
0x00000014a07c60582d1ab2ed4c4bc622fd5166e6,ARB-USD,7348.15,1.1312,SELL,2024-10-27 02:45:00,-9.5793,PARTIAL_FILL,-296.87,5
0x00000004f7f1c901916695b7cb686819972a8469,ETH-USD,54334.66,4.2996,BUY,2024-10-08 04:46:00,0.2831,LIQUIDATION,184.46,1
0x000000180da441df41c4e67e0d8c642702f06b90,ARB-USD,47098.7,4.0394,BUY,2024-08-07 14:55:00,-8.1135,PARTIAL_FILL,-102.6,2
0x0000000e17717810bc2f834dfb4acf4781f631d4,BTC-USD,24217.01,1.7031,BUY,2023-02-25 05:17:00,-5.0269,FILL,36.2,1
0x00000009841e5852e5d7c9b53bfe2941e2acf72f,BTC-USD,48500.53,4.2813,SELL,2024-04-18 06:55:00,-8.9882,PARTIAL_FILL,-556.47,1
0x00000004f7f1c901916695b7cb686819972a8469,ETH-USD,229.11,1.9582,SELL,2024-02-15 04:12:00,-4.295,PARTIAL_FILL,169.88,10
0x0000000551389fa7755f3966588373cc1ff49b78,BTC-USD,44903.74,0.2953,BUY,2023-10-31 19:04:00,-0.4642,PARTIAL_FILL,-442.37,20
0x00000009841e5852e5d7c9b53bfe2941e2acf72f,ARB-USD,56501.61,2.8527,BUY,2024-11-22 08:13:00,1.8904,PARTIAL_FILL,81.84,20
0x00000015f0767965746610a1e72a989eec24a3c5,SOL-USD,16010.31,0.6631,BUY,2024-11-16 17:13:00,-4.0001,LIQUIDATION,60.04,50
0x0000000a99998c2c94fed25d7133b452b45ed1f0,ETH-USD,52863.76,4.3976,SELL,2024-06-02 19:51:00,-4.3003,LIQUIDATION,965.64,5
0x0000001c1945931529e3fa888685f25f1c11f735,BTC-USD,55912.19,0.5269,SELL,2024-10-31 09:38:00,-4.7107,FILL,246.21,2
0x00000015f0767965746610a1e72a989eec24a3c5,SOL-USD,41281.08,4.266,BUY,2023-08-04 08:02:00,-0.2294,FILL,-606.69,20
0x0000001a790e629ab5136ac601f346639bf00273,ETH-USD,9778.76,2.2148,SELL,2023-01-04 01:53:00,-1.4463,FILL,192.55,50
0x0000001b349fa65c497d33d4e8dc39b4e2817efd,DOGE-USD,25844.22,0.2187,BUY,2024-01-14 07:42:00,7.9796,FILL,433.19,5
0x0000000b5174fc8aff9a5c36893a156f3eabedcb,DOGE-USD,58432.84,3.7499,SELL,2023-04-16 13:51:00,7.2921,FILL,303.85,2
0x0000001a063e60fc9d6d18cc51d09df6913e4de2,ETH-USD,9635.95,3.5094,SELL,2024-11-16 14:22:00,7.4433,LIQUIDATION,-1298.09,10
0x00000016913f88425d9789f6aa7311c18d5288f1,ETH-USD,39635.99,1.9983,BUY,2023-11-09 21:53:00,7.2871,LIQUIDATION,-260.26,5
0x0000001a790e629ab5136ac601f346639bf00273,BTC-USD,52634.6,1.3135,BUY,2024-07-03 13:38:00,9.2507,LIQUIDATION,-619.76,20
0x0000001af1fae5b367ce24102e9c2c0b47378190,ARB-USD,15357.88,3.5468,BUY,2024-06-07 13:04:00,0.3984,PARTIAL_FILL,253.21,1
0x0000001a790e629ab5136ac601f346639bf00273,DOGE-USD,39836.91,0.6319,SELL,2024-11-11 09:35:00,0.1425,PARTIAL_FILL,-131.49,5
0x0000001465eddcfa441360946a84e7e3ce9ff57f,ARB-USD,40671.34,4.515,SELL,2023-05-11 18:38:00,1.3821,LIQUIDATION,-320.6,20
0x000000059636a43f3840a79d4f2deec9b3aa7efe,ARB-USD,26585.37,1.0764,SELL,2024-11-01 10:05:00,5.8747,PARTIAL_FILL,36.11,10
0x0000000e17717810bc2f834dfb4acf4781f631d4,SOL-USD,48413.12,0.7453,BUY,2023-08-29 14:26:00,-5.1031,LIQUIDATION,412.28,1
0x000000180da441df41c4e67e0d8c642702f06b90,ETH-USD,29713.19,1.2275,SELL,2024-10-06 22:33:00,3.7524,FILL,305.72,50
0x00000004f7f1c901916695b7cb686819972a8469,DOGE-USD,55056.45,0.6156,BUY,2024-04-20 10:48:00,6.0283,PARTIAL_FILL,60.54,2
0x0000001ae47e465f8a185c1dd38c9323287d06ca,DOGE-USD,49851.09,2.7439,SELL,2024-03-29 20:17:00,4.8731,LIQUIDATION,-172.54,2
0x0000000e56901b2b1ea616b5453d0ef56dadd6c7,ETH-USD,26448.37,3.5706,SELL,2024-06-17 04:45:00,-4.5657,LIQUIDATION,-485.45,2
0x000000038a6ee4d80aa2a3959af5009837f8a88b,ARB-USD,19919.8,2.335,SELL,2023-08-08 22:01:00,-5.8633,LIQUIDATION,-411.82,1
0x0000001bc8162338dc47de440ea837af3838b326,ARB-USD,56570.23,1.5001,BUY,2024-08-12 19:57:00,7.069,LIQUIDATION,123.54,10
0x0000000e56901b2b1ea616b5453d0ef56dadd6c7,ETH-USD,26206.57,0.1548,SELL,2023-08-14 04:39:00,3.3775,LIQUIDATION,1205.65,5
0x00000006acda5f3cacfc6ead9889ad5e3eb13b90,ARB-USD,5128.45,2.1488,BUY,2024-06-30 10:21:00,-6.3654,LIQUIDATION,-131.54,10
0x0000000b51a0f26aa31ee7953d3736323b982ef8,ARB-USD,50111.16,2.3568,SELL,2024-01-24 20:02:00,0.7884,LIQUIDATION,-253.98,50
0x00000009841e5852e5d7c9b53bfe2941e2acf72f,ETH-USD,37318.01,1.2003,BUY,2023-02-01 08:49:00,3.3892,PARTIAL_FILL,717.93,10
0x000000065193e910a101ddd5798fca6d562b0f79,DOGE-USD,46689.73,0.8272,BUY,2024-01-13 12:25:00,-7.838,FILL,867.23,5
0x000000038a6ee4d80aa2a3959af5009837f8a88b,DOGE-USD,6203.89,3.8647,BUY,2023-07-23 01:22:00,2.0082,FILL,585.38,50
0x00000012981bd2a8bfb25e33aff41157b7c93acf,SOL-USD,30407.05,1.7127,BUY,2024-06-29 14:45:00,6.4466,FILL,-89.4,10
0x00000012981bd2a8bfb25e33aff41157b7c93acf,ETH-USD,36993.15,4.5989,SELL,2023-06-06 07:53:00,-0.7025,PARTIAL_FILL,117.05,10
0x0000000b51a0f26aa31ee7953d3736323b982ef8,ARB-USD,45053.53,2.8535,BUY,2023-03-30 15:13:00,-2.4202,FILL,-7.24,50
0x0000000a99998c2c94fed25d7133b452b45ed1f0,SOL-USD,52831.17,3.5089,SELL,2023-12-30 07:44:00,1.1158,PARTIAL_FILL,369.11,5
0x00000006d9f2f9030b3b19e08d2177b4c30ff46e,ARB-USD,47596.68,0.4743,SELL,2024-05-02 15:35:00,-1.912,FILL,-397.26,2
0x0000000b5174fc8aff9a5c36893a156f3eabedcb,ARB-USD,21173.45,2.2742,SELL,2024-06-27 23:34:00,-4.9719,FILL,277.32,5
